NUM_ART;month_of_year;year_of_calendar;QTE_VTE
62182680;6;2017;4.0
62182680;6;2018;8.0
62182680;6;2019;7.0
62182680;7;2016;2.0
62182680;7;2017;7.0
62182680;7;2018;10.0
62182680;7;2019;13.0
62182680;8;2016;5.0
62182680;8;2017;9.0
62182680;8;2018;11.0
62182680;8;2019;6.0
62182680;9;2016;2.0
62182680;9;2017;6.0
62182680;9;2018;7.0
62182680;9;2019;16.0
62182680;10;2016;6.0
62182680;10;2017;9.0
62182680;10;2018;12.0
62182680;10;2019;11.0
62182680;11;2016;6.0
62182680;11;2017;8.0
62182680;11;2018;11.0
62182680;11;2019;15.0
62182680;12;2016;7.0
62182680;12;2017;14.0
62182680;12;2018;18.0
62182680;12;2019;16.0
62183023;1;2017;64.0
62183023;1;2018;104.0
62183023;1;2019;82.0
62183023;1;2020;13.0
62183023;2;2017;77.0
62183023;2;2018;78.0
62183023;2;2019;89.0
62183023;3;2017;103.0
62183023;3;2018;103.0
62183023;3;2019;94.0
62183023;4;2017;98.0
62183023;4;2018;87.0
62183023;4;2019;92.0
62183023;5;2017;76.0
62183023;5;2018;81.0
62183023;5;2019;88.0
62183023;6;2017;115.0
62183023;6;2018;94.0
62183023;6;2019;79.0
62183023;7;2016;56.0
62183023;7;2017;147.0
62183023;7;2018;89.0
62183023;7;2019;85.0
62183023;8;2016;82.0
62183023;8;2017;125.0
62183023;8;2018;82.0
62183023;8;2019;108.0
62183023;9;2016;82.0
62183023;9;2017;118.0
62183023;9;2018;64.0
62183023;9;2019;95.0
62183023;10;2016;83.0
62183023;10;2017;170.0
62183023;10;2018;94.0
62183023;10;2019;116.0
62183023;11;2016;87.0
62183023;11;2017;104.0
62183023;11;2018;90.0
62183023;11;2019;99.0
62183023;12;2016;66.0
62183023;12;2017;78.0
62183023;12;2018;97.0
62183023;12;2019;120.0
62594840;1;2018;1.0
62594840;2;2018;-1.0
62594840;4;2019;0.0
62594840;7;2017;1.0
62594840;8;2017;-1.0
62594840;8;2018;0.0
62594840;11;2018;1.0
62594840;12;2018;-1.0
63931931;1;2017;9.0
63931931;1;2018;8.0
63931931;1;2019;15.0
63931931;1;2020;2.0
63931931;2;2017;6.0
63931931;2;2018;6.0
63931931;2;2019;10.0
63931931;3;2017;12.0
63931931;3;2018;16.0
63931931;3;2019;14.0
63931931;4;2017;6.0
63931931;4;2018;17.0
63931931;4;2019;18.0
63931931;5;2017;15.0
63931931;5;2018;17.0
